000001,Australia and Oceania       ,Office Supplies,Online ,H,20160306,517073523,0303126.25
000057,Sub-Saharan Africa          ,Meat           ,Offline,H,20160902,515669333,0392964.00
000058,Europe                      ,Clothes        ,Online ,M,20140530,251991021,0631437.13
000059,Europe                      ,Beverages      ,Offline,L,20131111,694912135,0137776.69
000060,Sub-Saharan Africa          ,Office Supplies,Offline,C,20181009,449169003,1003056.25
000061,Sub-Saharan Africa          ,Snacks         ,Online ,M,20180505,889810454,0195305.88
000062,North America               ,Office Supplies,Online ,M,20131225,312197816,0647157.50
000063,Sub-Saharan Africa          ,Personal Care  ,Offline,L,20131212,682004916,0232180.91
000064,Europe                      ,Office Supplies,Online ,H,20170420,885218083,0575321.25
000065,Sub-Saharan Africa          ,Cosmetics      ,Offline,L,20190407,778136146,1153105.88
000066,Australia and Oceania       ,Clothes        ,Offline,M,20160726,737370431,0231409.44
000067,Middle East and North Africa,Office Supplies,Online ,C,20121013,309844768,1111883.75
000068,Europe                      ,Clothes        ,Online ,C,20121229,462795484,0023721.12
000069,Europe                      ,Clothes        ,Online ,C,20180609,433771407,0106781.76
000070,Asia                        ,Cereal         ,Online ,M,20100619,880633866,0707479.75
000071,Central America and the Cari,Personal Care  ,Online ,M,20200122,731556689,0068564.16
000072,Europe                      ,Personal Care  ,Offline,H,20150716,335026204,0013883.24
000073,Sub-Saharan Africa          ,Snacks         ,Online ,L,20141108,109841239,0182954.52
000074,Europe                      ,Personal Care  ,Offline,L,20160123,995113122,0123821.46
000075,Sub-Saharan Africa          ,Vegetables     ,Offline,C,20130521,400265681,0401822.44
000076,Sub-Saharan Africa          ,Fruits         ,Online ,H,20130329,755035245,0001354.42
000077,Central America and the Cari,Household      ,Offline,M,20180316,959470641,1249438.50
000078,Europe                      ,Meat           ,Online ,L,20101219,433933198,0533733.19
000079,Sub-Saharan Africa          ,Beverages      ,Offline,L,20130223,469096744,0078393.96
000080,Asia                        ,Beverages      ,Offline,L,20151017,175947606,0088651.26
000081,Asia                        ,Vegetables     ,Online ,M,20161019,535784614,0595189.63
000082,Asia                        ,Beverages      ,Offline,H,20150726,350219094,0101273.22
000083,Europe                      ,Personal Care  ,Online ,L,20180505,291174876,0099513.26
000084,Europe                      ,Clothes        ,Online ,L,20110701,650888288,0085410.72
000085,Sub-Saharan Africa          ,Cosmetics      ,Offline,L,20200429,891908156,0747467.13
000086,Middle East and North Africa,Fruits         ,Online ,M,20180301,997095811,0004007.83
000087,Sub-Saharan Africa          ,Office Supplies,Online ,C,20170410,119625079,1082467.50
000088,Middle East and North Africa,Baby Food      ,Online ,M,20100116,632982289,0228242.66
000089,Australia and Oceania       ,Vegetables     ,Online ,M,20170201,480966269,0471076.06
000090,Asia                        ,Personal Care  ,Offline,H,20171003,827688348,0005763.80
000091,Europe                      ,Clothes        ,Offline,L,20190820,207572352,0303086.88
000092,Asia                        ,Beverages      ,Online ,C,20100606,375354611,0072443.16
000093,Asia                        ,Cosmetics      ,Offline,H,20161010,456083953,0735817.81
000094,Middle East and North Africa,Cereal         ,Offline,C,20130504,995121705,0662741.81
000095,Central America and the Cari,Clothes        ,Offline,L,20130922,808141696,0436307.03
000096,Middle East and North Africa,Clothes        ,Online ,H,20110827,131130254,0235815.84
000097,North America               ,Clothes        ,Offline,M,20180521,170386207,0728524.81
000098,Sub-Saharan Africa          ,Cosmetics      ,Online ,C,20140810,852520883,1517711.25
000099,Sub-Saharan Africa          ,Household      ,Offline,C,20191208,374458110,1546426.63
000100,Middle East and North Africa,Personal Care  ,Offline,C,20120918,153434216,0086431.94
000101,Sub-Saharan Africa          ,Fruits         ,Online ,H,20100324,776998031,0023711.99
000102,Europe                      ,Beverages      ,Offline,H,20200722,653010880,0145418.77
000103,Central America and the Cari,Clothes        ,Online ,L,20151114,959646594,0705611.50
000104,Europe                      ,Clothes        ,Online ,L,20120810,695391499,0047956.32
000105,Middle East and North Africa,Cereal         ,Online ,H,20120905,729044425,0823975.56
000106,Europe                      ,Personal Care  ,Online ,C,20190629,649716699,0111867.84
000107,Middle East and North Africa,Cosmetics      ,Offline,C,20110322,116832149,0362345.09
000108,Asia                        ,Office Supplies,Offline,H,20100501,210127103,0016917.50
000109,Asia                        ,Vegetables     ,Online ,L,20140118,279650390,0228530.59
000110,Europe                      ,Vegetables     ,Offline,C,20100529,195763337,0604596.00
000111,Middle East and North Africa,Cereal         ,Online ,M,20150907,799139773,0183558.48
000112,Sub-Saharan Africa          ,Beverages      ,Offline,L,20150730,750766026,0112845.96
000113,Asia                        ,Fruits         ,Offline,L,20130501,581940925,0019535.46
000114,Europe                      ,Meat           ,Online ,H,20130909,444275796,0568339.19
000115,Sub-Saharan Africa          ,Clothes        ,Offline,L,20170723,559694468,0358827.84
000116,Australia and Oceania       ,Fruits         ,Offline,C,20160825,770433270,0017303.80
000117,Europe                      ,Cereal         ,Offline,H,20200321,989041030,0715275.69
000118,Australia and Oceania       ,Cosmetics      ,Online ,C,20170823,748379075,0148484.98
000119,Europe                      ,Meat           ,Online ,H,20151104,551621234,0333819.19
000120,Australia and Oceania       ,Snacks         ,Offline,H,20120717,522253835,0296101.81
000121,Europe                      ,Baby Food      ,Offline,M,20120428,854075706,0847018.94
000122,Central America and the Cari,Household      ,Online ,C,20100729,461198174,1266840.13
000123,Europe                      ,Office Supplies,Online ,M,20200324,128045070,0029795.00
000124,Asia                        ,Clothes        ,Offline,H,20121213,259352719,0520542.72
000125,Sub-Saharan Africa          ,Fruits         ,Online ,C,20100110,430169951,0013744.23
000126,Sub-Saharan Africa          ,Cosmetics      ,Offline,L,20121111,735858094,0976627.81
000127,North America               ,Snacks         ,Online ,M,20190108,442090976,0187420.86
000128,Sub-Saharan Africa          ,Vegetables     ,Online ,M,20161113,234854924,0482691.97
000129,Central America and the Cari,Cereal         ,Online ,H,20120429,870448768,0353385.50
000130,North America               ,Snacks         ,Online ,L,20121024,925483834,0004852.32
000131,Sub-Saharan Africa          ,Snacks         ,Online ,L,20110319,846883952,0035069.04
000132,Sub-Saharan Africa          ,Clothes        ,Online ,M,20120808,701885449,0173098.08
000133,Europe                      ,Personal Care  ,Offline,H,20180323,628037154,0225665.30
000134,Central America and the Cari,Baby Food      ,Online ,M,20200214,383200395,0610340.63
000135,Sub-Saharan Africa          ,Clothes        ,Online ,C,20170312,695548999,0533174.38
000136,Australia and Oceania       ,Fruits         ,Offline,L,20200715,113569295,0015744.53
000137,Sub-Saharan Africa          ,Cosmetics      ,Online ,L,20160108,856060111,1054521.50
000138,Europe                      ,Snacks         ,Online ,M,20120523,262132775,0538607.50
000139,Asia                        ,Household      ,Offline,L,20140728,241211116,1422626.38
000140,Asia                        ,Beverages      ,Online ,L,20180413,523031461,0085926.42
000141,Sub-Saharan Africa          ,Beverages      ,Offline,C,20150528,907642638,0007532.46
000142,Middle East and North Africa,Meat           ,Online ,H,20100105,815405976,0320491.59
000143,Sub-Saharan Africa          ,Baby Food      ,Offline,H,20130114,636995303,0951027.06
000144,Europe                      ,Cosmetics      ,Offline,H,20150713,383396947,0787805.00
000145,Middle East and North Africa,Baby Food      ,Online ,C,20150518,135909736,0725276.75
000146,Europe                      ,Vegetables     ,Offline,L,20111225,496144998,0579849.06
000147,Europe                      ,Snacks         ,Online ,M,20110805,336026561,0362876.34
000148,Europe                      ,Cereal         ,Online ,M,20110410,847790753,0795449.63
000149,Middle East and North Africa,Snacks         ,Offline,L,20141207,593986403,0145073.34
000150,Europe                      ,Office Supplies,Offline,L,20170417,457474839,0735532.50
000151,Middle East and North Africa,Office Supplies,Online ,M,20191204,491429889,0489850.00
000152,Europe                      ,Beverages      ,Offline,H,20150318,369337880,0064848.06
000153,Middle East and North Africa,Meat           ,Online ,H,20130126,734997642,0056628.00
000154,Sub-Saharan Africa          ,Cereal         ,Online ,H,20140403,952520501,0074238.42
000155,Australia and Oceania       ,Beverages      ,Online ,H,20150823,456330287,0111608.82
000156,Sub-Saharan Africa          ,Beverages      ,Online ,C,20150821,101163327,0083483.46
000157,Central America and the Cari,Cosmetics      ,Offline,L,20190627,812068450,1383135.88
000158,Sub-Saharan Africa          ,Office Supplies,Offline,L,20120720,434406983,1203793.75
000159,Sub-Saharan Africa          ,Personal Care  ,Online ,C,20190218,483852756,0041023.22
000160,Europe                      ,Fruits         ,Offline,C,20110723,296392095,0018947.42
000161,Australia and Oceania       ,Fruits         ,Online ,C,20111013,178323829,0021301.99
000162,Australia and Oceania       ,Snacks         ,Online ,C,20110310,956259286,0398551.91
000163,Asia                        ,Clothes        ,Offline,M,20180912,827122294,0199903.69
000164,Australia and Oceania       ,Fruits         ,Offline,H,20120828,308149182,0016980.86
000165,Europe                      ,Clothes        ,Online ,C,20100507,886888778,0657508.31
000166,Central America and the Cari,Office Supplies,Online ,L,20191108,971202409,1165287.50
000167,Europe                      ,Meat           ,Online ,C,20130504,839263904,0325696.81
000168,Europe                      ,Baby Food      ,Offline,L,20171210,389559590,0785572.69
000169,Sub-Saharan Africa          ,Baby Food      ,Online ,C,20140307,490888297,0346150.47
000170,Asia                        ,Vegetables     ,Offline,M,20160226,732361352,0053913.02
000171,Asia                        ,Cereal         ,Offline,H,20120928,773402583,0519668.94
000172,Sub-Saharan Africa          ,Clothes        ,Offline,M,20150916,793748319,0486246.25
000173,Australia and Oceania       ,Fruits         ,Online ,C,20110731,143447387,0019578.84
000174,Sub-Saharan Africa          ,Baby Food      ,Offline,C,20200624,492861115,0710418.44
000175,Central America and the Cari,Household      ,Online ,L,20151129,882663333,1416991.50
000176,Sub-Saharan Africa          ,Clothes        ,Online ,L,20150825,873840367,0560934.75
000177,Sub-Saharan Africa          ,Personal Care  ,Offline,C,20120329,997691047,0195618.36
000178,Middle East and North Africa,Office Supplies,Online ,M,20100609,505826699,0532270.00
000179,Middle East and North Africa,Household      ,Online ,C,20110221,520171153,1501182.38
000180,Europe                      ,Cosmetics      ,Offline,M,20161004,882960736,1140239.50
000181,Europe                      ,Vegetables     ,Offline,C,20150228,606744277,0503146.09
000182,Sub-Saharan Africa          ,Beverages      ,Online ,L,20170208,124383103,0103027.14
000183,Europe                      ,Baby Food      ,Offline,H,20181029,839051043,0259205.44
000184,Central America and the Cari,Vegetables     ,Online ,M,20180116,174234426,0548789.06
000185,Middle East and North Africa,Clothes        ,Offline,C,20190504,123732078,0288325.44
000186,Sub-Saharan Africa          ,Clothes        ,Offline,C,20180206,501655328,0720740.19
000187,Central America and the Cari,Cosmetics      ,Offline,L,20160727,292428004,0834576.00
000188,Europe                      ,Vegetables     ,Offline,C,20180629,800786435,0590644.25
000189,Sub-Saharan Africa          ,Beverages      ,Online ,C,20130126,701779448,0015487.74
000190,Sub-Saharan Africa          ,Cereal         ,Offline,H,20120529,990768373,0817951.50
000191,Middle East and North Africa,Fruits         ,Offline,H,20140124,933427035,0001583.37
000192,Europe                      ,Meat           ,Offline,L,20170208,315741765,0220792.00
000193,Europe                      ,Cosmetics      ,Offline,H,20161001,794011390,0777198.88
000194,Middle East and North Africa,Cereal         ,Offline,H,20200604,944847238,0013199.91
000195,Central America and the Cari,Office Supplies,Online ,C,20100424,315173137,0705737.50
000196,Australia and Oceania       ,Baby Food      ,Offline,H,20121118,772225415,0720483.75
000197,Sub-Saharan Africa          ,Household      ,Offline,M,20180905,653552901,1604597.88
000198,Middle East and North Africa,Cereal         ,Online ,M,20191002,617016923,0697557.69
000199,Middle East and North Africa,Cereal         ,Online ,L,20141230,490791308,0434888.31
000200,Europe                      ,Baby Food      ,Online ,H,20150706,623362386,0540362.81
000201,Sub-Saharan Africa          ,Household      ,Offline,H,20171108,533528983,0321019.00
000202,Europe                      ,Fruits         ,Offline,L,20200201,260402429,0018605.20
000203,Europe                      ,Fruits         ,Offline,L,20160605,813406550,0009468.89
000204,Middle East and North Africa,Snacks         ,Offline,L,20130419,122277677,0195030.19
000205,Europe                      ,Vegetables     ,Offline,L,20130408,687064635,0413438.38
000206,Asia                        ,Clothes        ,Online ,C,20200603,128128755,0367273.44
000207,Sub-Saharan Africa          ,Fruits         ,Online ,C,20130807,636143863,0019183.60
000208,Sub-Saharan Africa          ,Personal Care  ,Offline,C,20151207,422096288,0163541.56
000209,Europe                      ,Beverages      ,Online ,L,20140815,467284858,0138246.48
000210,Sub-Saharan Africa          ,Snacks         ,Offline,M,20191004,473320901,0277243.91
000211,Europe                      ,Fruits         ,Offline,M,20160316,212128245,0005583.97
000212,Europe                      ,Personal Care  ,Offline,L,20110920,875943219,0248570.14
000213,Sub-Saharan Africa          ,Household      ,Online ,C,20100318,127314651,0677670.00
000214,Sub-Saharan Africa          ,Clothes        ,Offline,C,20170202,649103868,0228692.16
000215,Sub-Saharan Africa          ,Meat           ,Offline,C,20120719,694484698,0132132.00
000216,Central America and the Cari,Baby Food      ,Online ,C,20100508,836943471,0865328.25
000217,Europe                      ,Clothes        ,Online ,M,20200603,820279014,0561301.94
000218,Central America and the Cari,Clothes        ,Offline,L,20110603,908602654,0335694.25
000219,Central America and the Cari,Fruits         ,Online ,H,20120426,536338222,0007839.73
000220,Sub-Saharan Africa          ,Cereal         ,Offline,H,20101026,558222043,0811661.56
000221,Europe                      ,Office Supplies,Online ,H,20120304,999302947,0606505.00
000222,Central America and the Cari,Baby Food      ,Online ,L,20120607,604942262,0451788.19
000223,Australia and Oceania       ,Household      ,Online ,M,20140707,890813815,0076070.07
000224,Europe                      ,Baby Food      ,Online ,C,20120216,292903935,0540458.69
000225,Europe                      ,Beverages      ,Online ,M,20160716,917511451,0013812.12
000226,Asia                        ,Household      ,Offline,C,20190218,891247689,1467042.00
000227,Europe                      ,Baby Food      ,Online ,H,20180217,211036479,0885650.56
000228,Sub-Saharan Africa          ,Cereal         ,Online ,M,20130409,294114148,0333718.53
000229,Middle East and North Africa,Office Supplies,Online ,C,20110220,828029525,0150490.00
000230,Sub-Saharan Africa          ,Cereal         ,Online ,M,20191026,220643937,0203668.41
000231,Europe                      ,Office Supplies,Online ,M,20110623,550131213,0619382.50
000232,Europe                      ,Vegetables     ,Online ,C,20130401,814977681,0559394.94
000233,Middle East and North Africa,Cereal         ,Offline,C,20160507,983982169,0092576.55
000234,Central America and the Cari,Vegetables     ,Offline,H,20130627,646256005,0023231.84
000235,Asia                        ,Cosmetics      ,Online ,C,20141207,361223018,0482141.50
000236,Europe                      ,Cosmetics      ,Online ,H,20110121,308619534,1083731.75
000237,Sub-Saharan Africa          ,Fruits         ,Online ,M,20200622,738494384,0013867.14
000238,Middle East and North Africa,Snacks         ,Online ,M,20200712,621208894,0461576.94
000239,Asia                        ,Meat           ,Offline,C,20161020,797436892,0466294.41
000240,Central America and the Cari,Clothes        ,Online ,H,20160520,828164708,0087834.24
000241,Europe                      ,Cereal         ,Online ,M,20111027,344691169,0055900.29
000242,Middle East and North Africa,Personal Care  ,Offline,C,20180720,398627603,0040622.26
000243,Sub-Saharan Africa          ,Household      ,Online ,M,20160202,311897838,1053379.88
000244,Asia                        ,Vegetables     ,Offline,H,20170716,826738202,0572020.94
000245,Europe                      ,Clothes        ,Offline,L,20101009,955697524,0072705.60
000246,Sub-Saharan Africa          ,Beverages      ,Online ,L,20170329,231637132,0085033.80
000247,Central America and the Cari,Clothes        ,Offline,L,20111014,957730853,0198067.69
000248,Europe                      ,Baby Food      ,Online ,C,20130708,557465016,0492816.25
000249,Asia                        ,Personal Care  ,Online ,L,20160429,124638450,0053678.52
000250,Middle East and North Africa,Cereal         ,Offline,C,20150808,373362481,0452694.91
000251,Sub-Saharan Africa          ,Cereal         ,Online ,H,20130731,288060939,0220411.92
000252,Australia and Oceania       ,Cosmetics      ,Offline,L,20140103,273470151,0825882.50
000253,Australia and Oceania       ,Clothes        ,Offline,M,20161014,804638946,0690336.00
000254,Asia                        ,Cosmetics      ,Offline,C,20120816,176928651,1038699.38
000255,Australia and Oceania       ,Snacks         ,Offline,M,20200622,356013095,0057400.74
000256,Middle East and North Africa,Snacks         ,Offline,M,20180104,227878606,0176337.72
000257,Europe                      ,Office Supplies,Online ,M,20110224,548824012,1019595.00
000258,Sub-Saharan Africa          ,Personal Care  ,Online ,H,20180103,795460641,0083575.10
000259,Europe                      ,Fruits         ,Offline,M,20100129,514712321,0008842.29
000260,Europe                      ,Office Supplies,Online ,H,20131030,673815381,0732250.00
000261,Asia                        ,Beverages      ,Offline,H,20191021,510318648,0054543.78
000262,Sub-Saharan Africa          ,Vegetables     ,Online ,C,20200119,682083451,0158140.66
000263,Central America and the Cari,Personal Care  ,Online ,C,20130620,117283618,0142441.05
000264,Australia and Oceania       ,Baby Food      ,Online ,C,20110225,964405477,0754130.63
000265,Australia and Oceania       ,Vegetables     ,Offline,L,20200510,942247855,0058963.42
000266,Europe                      ,Snacks         ,Online ,H,20171002,989922082,0485066.59
000267,Australia and Oceania       ,Beverages      ,Offline,C,20181214,316851985,0037552.68
000268,Europe                      ,Beverages      ,Online ,C,20190904,452773892,0073774.26
000269,Sub-Saharan Africa          ,Baby Food      ,Offline,C,20111021,297736632,0550332.25
000270,Middle East and North Africa,Cosmetics      ,Online ,H,20100209,172101533,1308024.00
000271,Sub-Saharan Africa          ,Household      ,Offline,C,20141030,466542422,1512286.25
000272,Middle East and North Africa,Fruits         ,Offline,C,20170102,292045629,0003966.86
000273,Sub-Saharan Africa          ,Baby Food      ,Online ,C,20140714,629909980,0308285.75
000274,Europe                      ,Personal Care  ,Offline,L,20170705,281746804,0100114.70
000275,Europe                      ,Snacks         ,Online ,L,20101017,819479930,0064899.78
000276,North America               ,Vegetables     ,Offline,C,20121031,735345685,0251509.92
000277,Middle East and North Africa,Household      ,Online ,M,20161105,391892898,1437210.50
000278,Middle East and North Africa,Vegetables     ,Offline,L,20170722,671982896,0222659.52
000279,Europe                      ,Snacks         ,Offline,C,20160713,728789508,0213171.23
000280,Australia and Oceania       ,Vegetables     ,Online ,H,20161107,235799062,0444245.81
000281,Sub-Saharan Africa          ,Fruits         ,Offline,C,20170929,736810386,0017887.02
000282,Europe                      ,Household      ,Online ,L,20191213,695934808,0236993.91
000283,Europe                      ,Clothes        ,Offline,H,20200509,447596156,0183893.77
000284,Sub-Saharan Africa          ,Meat           ,Offline,L,20170513,846530759,0349949.59
000285,Australia and Oceania       ,Snacks         ,Offline,H,20160321,117787444,0263403.78
000286,Europe                      ,Household      ,Online ,H,20121225,606727540,0500007.41
000287,Europe                      ,Snacks         ,Online ,M,20100724,229024875,0132611.70
000288,Central America and the Cari,Baby Food      ,Online ,M,20130514,120665776,0626924.38
000289,Sub-Saharan Africa          ,Clothes        ,Offline,M,20110411,587949073,0444385.44
000290,Europe                      ,Clothes        ,Offline,M,20170118,657486093,0264384.00
000291,Sub-Saharan Africa          ,Office Supplies,Offline,H,20180326,326200664,1121100.00
000292,Sub-Saharan Africa          ,Cereal         ,Online ,H,20140721,111329114,0320164.25
000293,Asia                        ,Cosmetics      ,Offline,M,20120805,600420272,1139891.75
000294,Sub-Saharan Africa          ,Beverages      ,Offline,M,20200614,201335465,0133000.38
000295,Middle East and North Africa,Meat           ,Online ,H,20100413,992248523,0414299.59
000296,Europe                      ,Beverages      ,Offline,M,20191202,171645772,0041545.98
000297,Sub-Saharan Africa          ,Vegetables     ,Online ,M,20190309,408326041,0101260.52
000298,Middle East and North Africa,Personal Care  ,Offline,M,20110629,391400659,0075380.48
000299,Asia                        ,Meat           ,Offline,C,20171016,680293452,0160446.00
000300,Middle East and North Africa,Snacks         ,Online ,C,20171007,554740750,0494605.81
000301,Sub-Saharan Africa          ,Meat           ,Offline,H,20190505,264791381,0372314.81
000302,Sub-Saharan Africa          ,Snacks         ,Online ,H,20100721,580806672,0135423.84
000303,Central America and the Cari,Meat           ,Offline,L,20180514,543460452,0050336.00
000304,North America               ,Baby Food      ,Online ,C,20171016,613739049,0755185.06
000305,Middle East and North Africa,Clothes        ,Online ,H,20120125,422941291,0483382.09
000306,Middle East and North Africa,Beverages      ,Offline,L,20160819,122678506,0033684.66
000307,Europe                      ,Snacks         ,Offline,M,20110104,834874522,0373794.06
000308,Sub-Saharan Africa          ,Household      ,Offline,H,20181227,601765668,0777108.00
000309,Europe                      ,Office Supplies,Offline,C,20170929,235900771,0900793.75
000310,Central America and the Cari,Cereal         ,Offline,H,20180115,170141160,0656008.94
000311,Sub-Saharan Africa          ,Household      ,Offline,H,20160207,907660663,0963719.94
000312,Europe                      ,Beverages      ,Offline,C,20200509,771945607,0073821.24
000313,Australia and Oceania       ,Household      ,Offline,C,20131225,856794822,0577071.88
000314,Central America and the Cari,Meat           ,Offline,M,20131008,976319634,0201973.20
000315,Asia                        ,Cosmetics      ,Offline,H,20110404,114943873,0573944.88
000316,Europe                      ,Cereal         ,Offline,C,20100311,477403867,0289512.13
000317,Middle East and North Africa,Clothes        ,Online ,C,20100623,738748443,0068739.84
000318,Europe                      ,Meat           ,Offline,C,20130705,994338929,0334048.00
000319,Sub-Saharan Africa          ,Household      ,Online ,C,20161109,509849154,0754071.50
000320,Sub-Saharan Africa          ,Office Supplies,Online ,M,20190802,871265447,0714827.50
000321,North America               ,Beverages      ,Offline,H,20161129,134886634,0075277.62
000322,Central America and the Cari,Cosmetics      ,Online ,H,20160405,477324044,1677323.88
000323,Europe                      ,Fruits         ,Offline,H,20100706,545501506,0011743.93
000324,Sub-Saharan Africa          ,Baby Food      ,Online ,L,20150611,406655347,0691054.75
000325,Europe                      ,Vegetables     ,Offline,M,20101126,198334395,0025883.30
000326,Central America and the Cari,Snacks         ,Offline,L,20100429,578399980,0014446.68
000327,Asia                        ,Fruits         ,Online ,H,20120810,475025928,0023095.03
000328,Central America and the Cari,Cosmetics      ,Offline,H,20180226,236698567,0560035.25
000329,Asia                        ,Cosmetics      ,Online ,L,20121031,282216727,0531346.75
000330,Central America and the Cari,Personal Care  ,Offline,C,20160202,650691735,0075154.94
000331,Europe                      ,Snacks         ,Offline,L,20110614,551547420,0220174.02
000332,Sub-Saharan Africa          ,Cosmetics      ,Offline,M,20160110,614520108,1566742.63
000333,Middle East and North Africa,Clothes        ,Online ,M,20110103,639658629,0591779.50
000334,Middle East and North Africa,Clothes        ,Online ,M,20110228,947324311,0232804.80
000335,Sub-Saharan Africa          ,Fruits         ,Offline,H,20160922,128190982,0008230.15
000336,Sub-Saharan Africa          ,Cereal         ,Online ,H,20180929,893244969,0876243.69
000337,Australia and Oceania       ,Fruits         ,Online ,H,20150211,623785102,0001754.48
000338,Sub-Saharan Africa          ,Meat           ,Offline,H,20151205,821422708,0348233.59
000339,Central America and the Cari,Household      ,Offline,H,20160927,358081614,0524038.25
000340,Sub-Saharan Africa          ,Fruits         ,Offline,L,20140813,425998151,0002829.34
000341,Sub-Saharan Africa          ,Beverages      ,Offline,M,20130617,487721145,0099910.80
000342,Sub-Saharan Africa          ,Cereal         ,Offline,C,20180910,526111924,0625888.38
000343,Middle East and North Africa,Vegetables     ,Online ,H,20100629,594344317,0539509.00
000344,Europe                      ,Snacks         ,Offline,L,20130430,365904653,0450659.22
000345,Europe                      ,Beverages      ,Offline,L,20150926,484591758,0005089.50
000346,Europe                      ,Clothes        ,Offline,L,20180614,314516961,0103770.72
000347,Asia                        ,Office Supplies,Online ,L,20180514,190104091,0616100.00
000348,Australia and Oceania       ,Baby Food      ,Offline,M,20131118,966089475,0594236.13
000349,Sub-Saharan Africa          ,Meat           ,Offline,M,20100330,867521941,0450507.19
